Iteration0: : {'val_loss': -1.0340051988942684e+18, 'val_energy_U0_MAE': 1.0340051988942684e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -1.2924880130785935e+18, 'val_energy_U0_MAE': 1.2924880130785935e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -1.6035801221897912e+18, 'val_energy_U0_MAE': 1.6035801221897912e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -1.9913516224662733e+18, 'val_energy_U0_MAE': 1.9913516224662733e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -2.448572812638552e+18, 'val_energy_U0_MAE': 2.448572812638552e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -2.9547082514736087e+18, 'val_energy_U0_MAE': 2.9547082514736087e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -3.5477430420541276e+18, 'val_energy_U0_MAE': 3.5477430420541276e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -4.1564596172258017e+18, 'val_energy_U0_MAE': 4.1564596172258017e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -4.932581235772883e+18, 'val_energy_U0_MAE': 4.932581235772883e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -5.459601897977545e+18, 'val_energy_U0_MAE': 5.459601897977545e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -6.423788933141758e+18, 'val_energy_U0_MAE': 6.423788933141758e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -6.917586202245726e+18, 'val_energy_U0_MAE': 6.917586202245726e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -7.926649804497617e+18, 'val_energy_U0_MAE': 7.926649804497617e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -8.523332774659097e+18, 'val_energy_U0_MAE': 8.523332774659097e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -9.430474947551035e+18, 'val_energy_U0_MAE': 9.430474947551035e+18, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -1.0243979411686687e+19, 'val_energy_U0_MAE': 1.0243979411686687e+19, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -1.1224829545569845e+19, 'val_energy_U0_MAE': 1.1224829545569845e+19, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -1.2105211804464972e+19, 'val_energy_U0_MAE': 1.2105211804464972e+19, 'val_energy_U0_MSE': inf}
Iteration0: : {'val_loss': -1.550395061127086e+17, 'val_energy_U0_MAE': 1.550395061127086e+17, 'val_energy_U0_MSE': 2.837734161050011e+34}
Iteration0: : {'val_loss': -2.510095882691543e+17, 'val_energy_U0_MAE': 2.510095882691543e+17, 'val_energy_U0_MSE': 7.379393750973205e+34}
Iteration0: : {'val_loss': -4.053237603049144e+17, 'val_energy_U0_MAE': 4.053237603049144e+17, 'val_energy_U0_MSE': 1.8362015998804983e+35}
Iteration0: : {'val_loss': -5.708360287728435e+17, 'val_energy_U0_MAE': 5.708360287728435e+17, 'val_energy_U0_MSE': 3.7523737301580196e+35}
Iteration0: : {'val_loss': -7.720405062626836e+17, 'val_energy_U0_MAE': 7.720405062626836e+17, 'val_energy_U0_MSE': 6.6074663359564915e+35}
